"filename", "language", "Python", "CSV", "JSON", "comment", "blank", "total"
"/Users/kaizalk/thirdPerson/drone_controller/__init__.py", "Python", 2, 0, 0, 0, 0, 2
"/Users/kaizalk/thirdPerson/drone_controller/drone_interface.py", "Python", 17, 0, 0, 0, 6, 23
"/Users/kaizalk/thirdPerson/drone_controller/mediapipe_utils.py", "Python", 140, 0, 0, 22, 37, 199
"/Users/kaizalk/thirdPerson/drone_controller/tello_drone.py", "Python", 39, 0, 0, 1, 12, 52
"/Users/kaizalk/thirdPerson/drone_controller/webcam_drone.py", "Python", 25, 0, 0, 1, 11, 37
"/Users/kaizalk/thirdPerson/instructions/__init__.py", "Python", 1, 0, 0, 0, 0, 1
"/Users/kaizalk/thirdPerson/instructions/gesture_buffer.py", "Python", 15, 0, 0, 0, 3, 18
"/Users/kaizalk/thirdPerson/instructions/gesture_instructions.py", "Python", 131, 0, 0, 60, 37, 228
"/Users/kaizalk/thirdPerson/main.py", "Python", 69, 0, 0, 16, 22, 107
"/Users/kaizalk/thirdPerson/model/Keypoint_model_training.ipynb", "JSON", 0, 0, 2930, 0, 1, 2931
"/Users/kaizalk/thirdPerson/model/add_gesture.py", "Python", 71, 0, 0, 21, 38, 130
"/Users/kaizalk/thirdPerson/model/keypoint.csv", "CSV", 0, 6190, 0, 0, 0, 6190
"/Users/kaizalk/thirdPerson/model/keypoint_classifier_label.csv", "CSV", 0, 12, 0, 0, 1, 13
"/Users/kaizalk/thirdPerson/model/new_gestures.csv", "CSV", 0, 7439, 0, 0, 1, 7440
"/Users/kaizalk/thirdPerson/neural_network/__init__.py", "Python", 1, 0, 0, 0, 0, 1
"/Users/kaizalk/thirdPerson/neural_network/gesture_recognition.py", "Python", 158, 0, 0, 16, 107, 281
"Total", "-", 669, 13641, 2930, 137, 276, 17653
